record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,persistence,change,B1,,,,predictive_R2,0.002127867416106,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B1,,,,mean_log_predictive_density,-1.4150277553688335,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B1,,,,calibration_intercept,0.0341479892367529,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B1,,,,calibration_slope,0.5600065600277283,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B2,,,,RMSE,0.9754443285990234,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B2,,,,MAE,0.7163713683634542,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B2,,,,predictive_R2,0.0412457338450176,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B2,,,,mean_log_predictive_density,-1.3953914971552657,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B2,,,,calibration_intercept,0.0106047978377868,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B2,,,,calibration_slope,0.8630456762855874,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B3,,,,RMSE,0.8707930922133786,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B3,,,,MAE,0.68966177366552,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B3,,,,predictive_R2,0.2359315205041129,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B3,,,,mean_log_predictive_density,-1.2814202747594838,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B3,,,,calibration_intercept,0.0036779738498812,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B3,,,,calibration_slope,0.9635593747687335,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B4,,,,RMSE,0.8696486799444103,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B4,,,,MAE,0.6876296603541303,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B4,,,,predictive_R2,0.2379385064751209,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B4,,,,mean_log_predictive_density,-1.2801829368138746,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B4,,,,calibration_intercept,0.003738018198867,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,change,B4,,,,calibration_slope,0.9602043547471932,,,,1166,1049,1050,,,,
comparison,HRS,grouped_10fold,persistence,change,,B0,B1,B1_minus_B0,RMSE,-0.0010495394420386,-0.0021941074395255,0.000176429253365,0.000593231910115,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B1,B1_minus_B0,MAE,-0.0010149235055616,-0.0020761567376252,7.144118476553835e-05,0.0005472668139371,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B1,B1_minus_B0,predictive_R2,-0.0021037217485809,-0.0044082349392279,0.0003639483548731,0.001191470091785,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B1,B1_minus_B0,mean_log_predictive_density,-0.0010707390142306,-0.0022434450064222,0.0001744503790572,0.0006066902898867,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B2,B2_minus_B0,RMSE,0.0186509375824396,0.0038922152785372,0.0310716308064221,0.0070919960869652,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B2,B2_minus_B0,MAE,0.0030352760789283,-0.0076058297770141,0.0126517550343028,0.0053776818318461,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B2,B2_minus_B0,predictive_R2,0.0370141446803305,0.007937830118734,0.0613648292905646,0.013841529569716,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B2,B2_minus_B0,mean_log_predictive_density,0.0185655191993374,0.0033273916228719,0.0313724247936507,0.0073604004429534,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B3,B3_minus_B0,RMSE,0.1233021739680844,0.0952259212891939,0.1510374983113374,0.0143765409074255,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B3,B3_minus_B0,MAE,0.0297448707768626,0.0059516834569186,0.0537352670364488,0.0123684707428266,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B3,B3_minus_B0,predictive_R2,0.2316999313394259,0.1859328646733866,0.2737138401137065,0.022023511356146,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B0,B3,B3_minus_B0,mean_log_predictive_density,0.1325367415951193,0.104708057363217,0.1610983483574788,0.0145144407892548,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B3,B4,B4_minus_B3,RMSE,0.0011444122689683,-0.0029277089315757,0.0057785092648034,0.0022451883063202,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B3,B4,B4_minus_B3,MAE,0.0020321133113896,-0.0018178127996578,0.005753301935523,0.0018857618975761,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B3,B4,B4_minus_B3,predictive_R2,0.002006985971008,-0.005151799023959,0.0103551835051789,0.0039312345491997,1166,1049,1050,,500.0,500.0,
comparison,HRS,grouped_10fold,persistence,change,,B3,B4,B4_minus_B3,mean_log_predictive_density,0.0012373379456092,-0.0035647846848883,0.0066893602346193,0.0026700284435071,1166,1049,1050,,500.0,500.0,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B0,,,,RMSE,0.8707930922133786,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B0,,,,MAE,0.68966177366552,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B0,,,,predictive_R2,0.2704864363165573,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B0,,,,mean_log_predictive_density,-1.2814202747594838,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B0,,,,calibration_intercept,0.0025992170262877,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B0,,,,calibration_slope,0.983015858101706,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B1,,,,RMSE,0.8490179981566609,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B1,,,,MAE,0.668764195994894,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B1,,,,predictive_R2,0.3065147724060736,,,,1166,1049,1050,,,,
