record_type,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,ridge_alpha_min,ridge_alpha_median,ridge_alpha_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_acute_residual,,,,calibration_intercept,0.0106281924973008,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_acute_residual,,,,calibration_slope,0.948189904328806,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_persistence_residual,,,,RMSE,0.9190789807886192,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_persistence_residual,,,,MAE,0.7418165566829972,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_persistence_residual,,,,predictive_R2,0.2028617182922929,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_persistence_residual,,,,mean_log_predictive_density,-1.335333555780666,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_persistence_residual,,,,calibration_intercept,0.0105631011080535,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_persistence_residual,,,,calibration_slope,0.949150909099937,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_joint_residual,,,,RMSE,0.9171169093261852,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_joint_residual,,,,MAE,0.7407001754625324,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_joint_residual,,,,predictive_R2,0.2062615845272127,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_joint_residual,,,,mean_log_predictive_density,-1.3334611114580517,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_joint_residual,,,,calibration_intercept,0.0110680496417045,,,,1166,10.0,100.0,100.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R4_joint_residual,,,,calibration_slope,0.9462870381824804,,,,1166,10.0,100.0,100.0,,,,
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,RMSE,-0.0007970629132877,-0.0017364757174403,0.0001788942287624,0.0004933884971565,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,MAE,-0.0009160886283948,-0.0018073929793229,1.8031309859567415e-05,0.0004596241821257,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,predictive_R2,-0.0013824136213311,-0.0030230509127096,0.0003135181783594,0.0008575018374531,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R1_prior_acute,R1_prior_acute_minus_BASE,mean_log_predictive_density,-0.0009046186401011,-0.0019781800428625,0.0001862153922257,0.0005517350711869,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,RMSE,0.001781074449444,-0.0025348320410735,0.0064712110149238,0.0023964387513755,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,MAE,0.0023120355044125,-0.0013172883330045,0.0060216214293159,0.0019111167013309,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,predictive_R2,0.0030847347765652,-0.0044243530612753,0.0110672006502414,0.0041279067861054,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R2_prior_persistence,R2_prior_persistence_minus_BASE,mean_log_predictive_density,0.001841777258922,-0.0030222052115054,0.007114739836955,0.0026918689841601,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,RMSE,0.0002813973499213,-0.0045409330210846,0.0051538303164415,0.0024413503353556,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,MAE,0.0008345999003768,-0.0032405300527893,0.0049170705035952,0.0019872328118121,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,predictive_R2,0.0004877648366331,-0.0079289195749239,0.0089656057426077,0.0042423735997685,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R3_joint_raw,R3_joint_raw_minus_BASE,mean_log_predictive_density,7.650823970717369e-05,-0.0054686483811364,0.005635567979226,0.0027720137879357,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,RMSE,0.0025759808042135,-0.0029031740969249,0.0079726090108079,0.0028100921581962,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,MAE,0.0016832176134985,-0.0033253289063004,0.0067300745039448,0.0024940284793893,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,predictive_R2,0.0044595417712406,-0.0049468705862914,0.013968004208624,0.0048865877538407,1166,,,,,500.0,500.0,paired person-cluster bootstrap
